Algorithm,Block Size,Search Area,Residual Metric,Naive Residual Metric,Runtime (s)
Full Search,16,size:,0.641415,Metric:,0.117267
Full Search,16,size:,1.018870,Metric:,0.0123955
Full Search,16,size:,0.771169,Metric:,0.0295226
Full Search,16,size:,0.673921,Metric:,0.0530211
Full Search,16,size:,0.651008,Metric:,0.0836692
Full Search,32,size:,1.139387,Metric:,0.00371129
Full Search,32,size:,0.938619,Metric:,0.0078705
Full Search,32,size:,0.857045,Metric:,0.0127745
Full Search,32,size:,0.815479,Metric:,0.0200988
Full Search,4,size:,0.384974,Metric:,0.753622
Full Search,8,size:,0.930742,Metric:,0.0448189
Full Search,8,size:,0.641432,Metric:,0.103134
Full Search,8,size:,0.523103,Metric:,0.18625
Full Search,8,size:,0.464974,Metric:,0.290527
Three Step,16,size:,0.703192,Metric:,0.00810933
Three Step,16,size:,1.025954,Metric:,0.00960613
Three Step,16,size:,0.783066,Metric:,0.00851733
Three Step,16,size:,0.691721,Metric:,0.00850958
Three Step,16,size:,0.697927,Metric:,0.0085545
Three Step,32,size:,1.139768,Metric:,0.00352292
Three Step,32,size:,0.940106,Metric:,0.00296337
Three Step,32,size:,0.849680,Metric:,0.0030905
Three Step,32,size:,0.895836,Metric:,0.00268221
Three Step,4,size:,0.428325,Metric:,0.110188
Three Step,8,size:,0.940825,Metric:,0.0309498
Three Step,8,size:,0.656892,Metric:,0.0280393
Three Step,8,size:,0.536975,Metric:,0.0296259
Three Step,8,size:,0.539219,Metric:,0.0277438
