Algorithm,Block Size,Search Area,Residual Metric,Naive Residual Metric,Runtime (s)
Diamond Search,16,11,4.015683,6.536341,0.0167335
Diamond Search,16,3,5.113747,6.536341,0.015244
Diamond Search,16,5,4.564653,6.536341,0.0160545
Diamond Search,16,7,4.296897,6.536341,0.0167404
Diamond Search,16,9,4.142134,6.536341,0.0170025
Diamond Search,32,3,5.443377,6.536341,0.0100198
Diamond Search,32,5,5.049370,6.536341,0.0103133
Diamond Search,32,7,4.844207,6.536341,0.0119816
Diamond Search,32,9,4.740665,6.536341,0.010564
Diamond Search,4,7,3.672609,6.560608,0.109506
Diamond Search,8,3,4.830130,6.560608,0.0302035
Diamond Search,8,5,4.166411,6.560608,0.0371438
Diamond Search,8,7,3.894019,6.560608,0.0403709
Diamond Search,8,9,3.743867,6.560608,0.0396946
Full Search,16,11,3.285281,6.536341,0.127755
Full Search,16,3,5.110312,6.536341,0.0208178
Full Search,16,5,4.543493,6.536341,0.0384045
Full Search,16,7,4.036603,6.536341,0.0577671
Full Search,16,9,3.641770,6.536341,0.0919133
Full Search,32,3,5.443794,6.536341,0.0113145
Full Search,32,5,5.037402,6.536341,0.0150067
Full Search,32,7,4.610405,6.536341,0.0216508
Full Search,32,9,4.251563,6.536341,0.0270609
Full Search,4,7,3.250668,6.560608,0.761003
Full Search,8,3,4.822170,6.560608,0.0517874
Full Search,8,5,4.111810,6.560608,0.138624
Full Search,8,7,3.580681,6.560608,0.200651
Full Search,8,9,3.141502,6.560608,0.319106
Three Step Search,16,11,4.118146,6.536341,0.0161854
Three Step Search,16,3,5.110223,6.536341,0.0159409
Three Step Search,16,5,4.544811,6.536341,0.0163729
Three Step Search,16,7,4.093009,6.536341,0.0163583
Three Step Search,16,9,4.102339,6.536341,0.0166585
Three Step Search,32,3,5.443058,6.536341,0.0100999
Three Step Search,32,5,5.037953,6.536341,0.0104273
Three Step Search,32,7,4.654355,6.536341,0.0115087
Three Step Search,32,9,4.737074,6.536341,0.0101796
Three Step Search,4,7,3.372391,6.560608,0.11896
Three Step Search,8,3,4.823503,6.560608,0.0382146
Three Step Search,8,5,4.121372,6.560608,0.0372825
Three Step Search,8,7,3.616780,6.560608,0.0370887
Three Step Search,8,9,3.645065,6.560608,0.0353542
