Algorithm,Block Size,Search Area,Residual Metric,Naive Residual Metric,Runtime (s)
Diamond Search,16,11,0.667898,3.297164,0.00884138
Diamond Search,16,3,1.025803,3.297164,0.00714167
Diamond Search,16,5,0.783953,3.297164,0.00847013
Diamond Search,16,7,0.707417,3.297164,0.00832537
Diamond Search,16,9,0.676434,3.297164,0.00845233
Diamond Search,32,3,1.138641,3.297164,0.00262938
Diamond Search,32,5,0.935041,3.297164,0.00335254
Diamond Search,32,7,0.856095,3.297164,0.00365913
Diamond Search,32,9,0.825315,3.297164,0.00358912
Diamond Search,4,7,0.477561,3.304323,0.0825117
Diamond Search,8,3,0.928663,3.304323,0.021483
Diamond Search,8,5,0.654223,3.304323,0.0252669
Diamond Search,8,7,0.568641,3.304323,0.0254998
Diamond Search,8,9,0.533168,3.304323,0.0265232
Full Search,16,11,0.641415,3.297164,0.128756
Full Search,16,3,1.018870,3.297164,0.0135514
Full Search,16,5,0.771169,3.297164,0.0315825
Full Search,16,7,0.673921,3.297164,0.0562476
Full Search,16,9,0.651008,3.297164,0.0839023
Full Search,32,3,1.139387,3.297164,0.00454283
Full Search,32,5,0.938619,3.297164,0.00847454
Full Search,32,7,0.857045,3.297164,0.0140597
Full Search,32,9,0.815479,3.297164,0.0215087
Full Search,4,7,0.384974,3.304323,0.808848
Full Search,8,3,0.930742,3.304323,0.0450863
Full Search,8,5,0.641432,3.304323,0.114195
Full Search,8,7,0.523103,3.304323,0.199986
Full Search,8,9,0.464974,3.304323,0.321622
Three Step Search,16,11,0.703192,3.297164,0.00946796
Three Step Search,16,3,1.025954,3.297164,0.00926821
Three Step Search,16,5,0.783066,3.297164,0.00929233
Three Step Search,16,7,0.691721,3.297164,0.0102598
Three Step Search,16,9,0.697927,3.297164,0.00934267
Three Step Search,32,3,1.139768,3.297164,0.00354288
Three Step Search,32,5,0.940106,3.297164,0.003224
Three Step Search,32,7,0.849680,3.297164,0.00319929
Three Step Search,32,9,0.895836,3.297164,0.00344617
Three Step Search,4,7,0.428325,3.304323,0.117186
Three Step Search,8,3,0.940825,3.304323,0.0311444
Three Step Search,8,5,0.656892,3.304323,0.0310234
Three Step Search,8,7,0.536975,3.304323,0.0307288
Three Step Search,8,9,0.539219,3.304323,0.0299255
