Algorithm,Block Size,Search Area,Residual Metric,Naive Residual Metric,Runtime (s)
full,4,25,1.123585,6.560608,8.6447
full,2,36,0.408303,6.560608,71.111
diamond,4,7,3.672609,6.560608,0.109506
three_step,32,50,6.58853,6.536341,0.0103363
diamond,32,36,6.150626,6.536341,0.0115768
full,8,50,0.85053,6.560608,8.44275
three_step,8,7,3.61678,6.560608,0.0370887
three_step,8,5,4.121372,6.560608,0.0372825
diamond,16,3,5.113747,6.536341,0.0153735
three_step,16,50,5.538077,6.536341,0.015898
three_step,4,3,4.582739,6.560608,0.122496
three_step,32,3,5.443058,6.536341,0.010367
full,16,11,3.285281,6.536341,0.127755
three_step,4,14,3.426246,6.560608,0.116015
diamond,8,3,4.83013,6.560608,0.0323765
diamond,16,36,4.923904,6.536341,0.0198347
diamond,8,14,3.663364,6.560608,0.0425782
diamond,32,25,5.563996,6.536341,0.011544
full,32,9,4.251563,6.536341,0.0270609
diamond,8,7,3.894019,6.560608,0.0403709
three_step,32,7,4.654355,6.536341,0.0115087
full,2,25,0.81375,6.560608,34.4946
full,16,14,2.853866,6.536341,0.20705
three_step,4,7,3.372391,6.560608,0.11896
diamond,16,7,4.296897,6.536341,0.0167404
full,4,36,0.704748,6.560608,17.8789
diamond,16,25,4.405131,6.536341,0.0191699
three_step,8,3,4.823503,6.560608,0.0374678
three_step,2,14,3.267044,6.560608,0.430135
diamond,16,5,4.564653,6.536341,0.0160545
three_step,32,5,5.037953,6.536341,0.0104273
diamond,4,3,4.598707,6.560608,0.0876808
full,32,14,3.634122,6.536341,0.0549475
diamond,8,5,4.166411,6.560608,0.0371438
diamond,32,7,4.844207,6.536341,0.0119816
three_step,16,7,4.093009,6.536341,0.0163583
full,16,9,3.64177,6.536341,0.0919133
three_step,8,14,3.662413,6.560608,0.0364363
three_step,16,25,4.607591,6.536341,0.0161902
full,8,25,1.504145,6.560608,2.28151
three_step,32,25,5.989355,6.536341,0.0113469
diamond,2,14,3.511706,6.560608,0.345937
three_step,16,5,4.544811,6.536341,0.0163729
three_step,2,3,4.434371,6.560608,0.444595
diamond,32,5,5.04937,6.536341,0.0103133
full,4,50,0.493915,6.560608,35.5438
three_step,16,36,5.419078,6.536341,0.015749
diamond,16,50,5.433137,6.536341,0.0277605
diamond,2,3,4.501419,6.560608,0.291433
diamond,4,14,3.489874,6.560608,0.113496
full,8,9,3.141502,6.560608,0.319106
full,2,50,0.216341,6.560608,136.688
three_step,32,36,6.225253,6.536341,0.0111594
three_step,16,3,5.110223,6.536341,0.0182052
full,8,36,1.090356,6.560608,5.04906
diamond,32,50,6.419895,6.536341,0.012031
diamond,32,3,5.443377,6.536341,0.0111372
full,4,3,4.571293,6.560608,0.186848
diamond,8,50,4.769891,6.560608,0.0460502
three_step,16,11,4.118146,6.536341,0.0161854
full,8,5,4.11181,6.560608,0.138624
full,16,50,1.293364,6.536341,2.45942
diamond,2,36,4.122365,6.560608,0.397512
diamond,4,25,3.620946,6.560608,0.121388
three_step,2,50,4.323546,6.560608,0.435625
full,16,3,5.110312,6.536341,0.0209252
three_step,8,36,4.370543,6.560608,0.0376689
full,32,50,2.154177,6.536341,0.703768
full,8,7,3.580681,6.560608,0.200651
diamond,4,36,4.087652,6.560608,0.12826
full,8,3,4.82217,6.560608,0.0580739
diamond,2,25,3.627292,6.560608,0.423058
full,16,7,4.036603,6.536341,0.0577671
three_step,32,14,4.869438,6.536341,0.0100399
three_step,16,9,4.102339,6.536341,0.0166585
full,8,14,2.378368,6.560608,0.740141
diamond,32,9,4.740665,6.536341,0.010564
three_step,16,14,4.15574,6.536341,0.016019
three_step,8,25,3.89803,6.560608,0.0373433
full,16,5,4.543493,6.536341,0.0384045
three_step,4,50,4.543759,6.560608,0.117501
full,4,7,3.250668,6.560608,0.761003
diamond,16,9,4.142134,6.536341,0.0170025
full,32,25,2.83825,6.536341,0.158887
three_step,32,9,4.737074,6.536341,0.0101796
full,2,3,4.415087,6.560608,0.694049
three_step,4,36,4.046168,6.560608,0.112893
diamond,8,9,3.743867,6.560608,0.0396946
full,32,7,4.610405,6.536341,0.0216508
three_step,2,25,3.443377,6.560608,0.421452
diamond,16,14,4.038721,6.536341,0.0186823
diamond,4,50,4.500412,6.560608,0.131002
full,32,5,5.037402,6.536341,0.0150067
full,16,25,2.030074,6.536341,0.60586
full,2,14,1.693989,6.560608,11.1316
diamond,32,14,4.735369,6.536341,0.0119703
diamond,8,25,3.856536,6.560608,0.0440475
three_step,8,9,3.645065,6.560608,0.0353542
three_step,2,36,3.874531,6.560608,0.427281
three_step,4,25,3.602752,6.560608,0.116408
full,32,36,2.47599,6.536341,0.388782
three_step,8,50,4.896042,6.560608,0.0383016
diamond,8,36,4.332066,6.560608,0.0460574
full,32,3,5.443794,6.536341,0.0116103
full,16,36,1.593222,6.536341,1.28099
diamond,2,50,4.549384,6.560608,0.380521
diamond,16,11,4.015683,6.536341,0.0167335
full,4,14,2.001141,6.560608,2.92429
